City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
4,Guiyang,CN,71.6,broken clouds,26.5833,106.7167,Guo Tai Hotel Guiyang
6,Andros Town,BS,82.4,broken clouds,24.7,-77.7667,Hanks place
9,Manta,EC,80.6,broken clouds,-0.95,-80.7333,Balandra Hotel
10,Poum,NC,78.55,overcast clouds,-20.2333,164.0167,Gîte kajeon
14,Rikitea,PF,79.09,overcast clouds,-23.1203,-134.9692,Pension Maro'i
16,Lorengau,PG,79.88,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
20,Cockburn Town,TC,82.4,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
24,Arraial Do Cabo,BR,75.2,clear sky,-22.9661,-42.0278,Pousada Porto Praia
26,Sao Joao Da Barra,BR,78.8,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
28,Bubaque,GW,78.33,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
32,Sibolga,ID,75.65,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
33,Vaini,TO,80.6,few clouds,-21.2,-175.2,Keleti Beach Resort
38,Sao Filipe,CV,72.34,scattered clouds,14.8961,-24.4956,Tortuga B&B
39,Atuona,PF,80.11,light rain,-9.8,-139.0333,Villa Enata
45,Cidreira,BR,70.61,clear sky,-30.1811,-50.2056,Hotel Castelo
51,Georgetown,MY,78.8,scattered clouds,5.4112,100.3354,Cititel Penang
52,Saint George,US,80.01,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
63,Kikwit,CD,72.21,light rain,-5.041,18.8162,Guest L'Amour
64,Avera,US,73.4,clear sky,33.194,-82.5271,
66,Butaritari,KI,82.51,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
67,Puerto Ayora,EC,84.2,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
74,Gemena,CD,70.07,overcast clouds,3.25,19.7667,Hôtel Goshen
81,Grand Gaube,MU,78.01,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
90,Tura,IN,72.41,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
93,Souillac,MU,78.8,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
94,Maningrida,AU,72.1,scattered clouds,-12.0667,134.2667,Dhukurrdji Lodge
99,Mar Del Plata,AR,75.2,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
101,Loandjili,CG,78.87,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
102,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
107,Luang Prabang,LA,75.72,few clouds,19.8856,102.1347,Villa Oasis
109,Kahului,US,80.6,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
111,Kapaa,US,80.6,scattered clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
112,Avarua,CK,82.4,broken clouds,-21.2078,-159.775,Paradise Inn
120,Passagem Franca,BR,77.61,overcast clouds,-6.1797,-43.7836,Hotel Brasil
121,Cayenne,GF,78.01,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
122,Dabakala,CI,79.32,light rain,8.3667,-4.4333,Hôtel Campement
123,Buala,SB,81.54,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
125,San Borja,BO,80.47,scattered clouds,-14.8167,-66.85,
132,Abnub,EG,75.2,clear sky,27.2696,31.1511,Romany Adly Gad
133,Namatanai,PG,77.16,overcast clouds,-3.6667,152.4333,Namatanai Hotel
136,Hithadhoo,MV,81.91,clear sky,-0.6,73.0833,Scoop Guest House
138,Saint-Philippe,RE,77.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
144,Victoria,HK,79.0,few clouds,22.2855,114.1577,Mini Hotel Central
148,Pedernales,DO,84.67,scattered clouds,18.0384,-71.744,Hotel Costa Marina
149,Laguna,US,75.0,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
153,Luzilandia,BR,75.87,very heavy rain,-3.4578,-42.3703,Pousada Pontes
159,Faanui,PF,80.53,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
163,Sinnamary,GF,77.86,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
164,Candelaria,PH,80.01,scattered clouds,13.9311,121.4233,Casa de Provincia
166,Dwarka,IN,81.07,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
169,Vangaindrano,MG,70.12,light rain,-23.35,47.6,Hotel Fanilo
171,Razole,IN,78.42,broken clouds,16.4833,81.8333,Sterling Palavelli Godavari
172,Libreville,GA,79.21,few clouds,0.3925,9.4537,Hotel Re-Ndama
173,Hilo,US,75.2,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
176,Antalaha,MG,73.11,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
178,Marovoay,MG,73.4,broken clouds,-16.1,46.6333,
179,Cairns,AU,75.2,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
184,Dhidhdhoo,MV,83.16,clear sky,6.8833,73.1,Dhidhoo beach
188,Uthal,PK,82.81,clear sky,25.8072,66.6219,Al Madina Hotal
190,Mandera,KE,84.43,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
195,Antsohihy,MG,72.79,overcast clouds,-14.8796,47.9875,Hotel de Ville
199,Alenquer,BR,84.2,few clouds,-1.9417,-54.7383,Josilene Castro
202,Saint-Pierre,RE,77.0,broken clouds,-21.3393,55.4781,Lindsey Hôtel
205,Kalmunai,LK,80.06,clear sky,7.4167,81.8167,VS Villa
207,Bambous Virieux,MU,78.8,light rain,-20.3428,57.7575,Casa Tia Villa
214,Dingle,PH,76.15,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
215,Port Maria,JM,82.99,scattered clouds,18.3685,-76.8895,Galina Breeze Hotel
217,Itarema,BR,79.7,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
219,Pemangkat,ID,78.1,broken clouds,1.1667,108.9667,Ramah Kost KITA
220,Najran,SA,80.6,clear sky,17.4924,44.1277,محمد هادي ال فطيح
221,Vilhena,BR,84.2,scattered clouds,-12.7406,-60.1458,Hotel Mirage
223,Simoes,BR,80.87,broken clouds,-7.5989,-40.8178,Hotel Ponto Certo
227,Mogadishu,SO,82.98,broken clouds,2.0371,45.3438,Hotel Juba
228,Amuntai,ID,71.73,broken clouds,-2.4177,115.2494,Hotel Balqis
248,Ambilobe,MG,73.38,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
252,Vanimo,PG,77.31,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
254,Monrovia,LR,80.6,broken clouds,6.3005,-10.7969,Sunset Inn
259,Boyolangu,ID,72.54,clear sky,-8.1181,111.8935,Yos ega cv
261,Ixtapa,MX,84.2,clear sky,20.7,-105.2,Hotel Plaza Providencia
262,Hambantota,LK,79.99,broken clouds,6.1241,81.1185,Bungalow 63
263,Ojinaga,MX,84.2,clear sky,29.5667,-104.4167,Suites Las Palmas
264,Tabou,CI,81.48,overcast clouds,4.423,-7.3528,hotêl doufoulougou
265,Kavaratti,IN,83.44,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
266,Marzuq,YE,70.3,few clouds,14.4,46.4667,
