City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Constitucion,CL,-35.3333,-72.4167,60.96,64,0,9.86,clear sky
1,Baiyin,CN,36.5583,104.2081,42.8,93,75,8.95,light rain
2,Lavrentiya,RU,65.5833,-171.0,32.47,74,29,0.96,scattered clouds
3,Yerbogachen,RU,61.2767,108.0108,27.82,87,95,6.49,overcast clouds
4,Guiyang,CN,26.5833,106.7167,71.6,78,75,4.47,broken clouds
5,Evensk,RU,61.95,159.2333,28.96,97,100,5.68,snow
6,Andros Town,BS,24.7,-77.7667,82.4,61,75,17.27,broken clouds
7,Bethel,US,41.3712,-73.414,61.0,21,1,17.27,clear sky
8,Joshimath,IN,30.5667,79.5667,47.21,80,96,2.8,overcast clouds
9,Manta,EC,-0.95,-80.7333,80.6,78,75,6.91,broken clouds
10,Poum,NC,-20.2333,164.0167,78.55,79,92,7.99,overcast clouds
11,Los Llanos De Aridane,ES,28.6585,-17.9182,69.8,64,40,4.61,scattered clouds
12,Albany,US,42.6001,-73.9662,60.01,21,5,8.01,clear sky
13,Isagarh,IN,24.8333,77.8833,85.6,16,96,14.09,overcast clouds
14,Rikitea,PF,-23.1203,-134.9692,79.09,67,100,17.78,overcast clouds
15,Praia Da Vitoria,PT,38.7333,-27.0667,59.0,67,40,35.05,scattered clouds
16,Lorengau,PG,-2.0226,147.2712,79.88,77,93,3.85,overcast clouds
17,Ushuaia,AR,-54.8,-68.3,42.8,87,75,2.3,broken clouds
18,Ribeira Grande,PT,38.5167,-28.7,59.0,72,40,28.77,scattered clouds
19,Hermanus,ZA,-34.4187,19.2345,59.0,82,99,1.01,overcast clouds
20,Cockburn Town,TC,21.4612,-71.1419,82.4,65,40,9.22,scattered clouds
21,Mount Gambier,AU,-37.8333,140.7667,48.2,100,40,8.05,scattered clouds
22,East London,ZA,-33.0153,27.9116,65.05,76,10,10.63,clear sky
23,Barrow,US,71.2906,-156.7887,17.6,79,1,6.91,clear sky
24,Arraial Do Cabo,BR,-22.9661,-42.0278,75.2,78,0,19.57,clear sky
25,Mataura,NZ,-46.1927,168.8643,45.0,95,53,1.99,broken clouds
26,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.8,57,0,9.22,clear sky
27,Newport,GB,51.5877,-2.9984,51.8,42,97,11.5,overcast clouds
28,Bubaque,GW,11.2833,-15.8333,78.33,71,2,17.36,clear sky
29,Ponta Do Sol,PT,32.6667,-17.1,57.99,83,47,1.99,scattered clouds
30,Yellowknife,CA,62.456,-114.3525,16.0,53,75,11.5,broken clouds
31,Jamestown,US,42.097,-79.2353,53.6,32,1,16.11,clear sky
32,Sibolga,ID,1.7427,98.7792,75.65,88,100,2.86,overcast clouds
33,Vaini,TO,-21.2,-175.2,80.6,89,20,2.3,few clouds
34,New Norfolk,AU,-42.7826,147.0587,51.01,86,97,9.04,light rain
35,Pacific Grove,US,36.6177,-121.9166,62.01,55,40,12.66,scattered clouds
36,Carnarvon,AU,-24.8667,113.6333,62.6,88,0,5.75,clear sky
37,Saint-Raymond,CA,45.467,-73.6095,59.0,26,66,3.44,broken clouds
38,Sao Filipe,CV,14.8961,-24.4956,72.34,73,47,10.07,scattered clouds
39,Atuona,PF,-9.8,-139.0333,80.11,80,28,22.08,light rain
40,Hovd,MN,48.0056,91.6419,30.16,48,0,3.22,clear sky
41,San Matias,BO,-16.3667,-58.4,89.56,37,21,5.84,few clouds
42,Haines Junction,CA,60.7522,-137.5108,48.2,29,9,5.75,clear sky
43,Wasilla,US,61.5814,-149.4394,55.4,30,1,8.05,clear sky
44,Kununurra,AU,-15.7667,128.7333,66.2,68,70,4.61,broken clouds
45,Cidreira,BR,-30.1811,-50.2056,70.61,77,1,17.85,clear sky
46,Cape Town,ZA,-33.9258,18.4232,61.0,94,0,3.44,clear sky
47,Kruisfontein,ZA,-34.0033,24.7314,60.01,88,5,3.0,clear sky
48,Linjiang,CN,41.8069,126.9078,50.23,67,100,2.1,overcast clouds
49,Broome,US,42.2506,-75.833,60.01,32,1,17.27,clear sky
50,De Aar,ZA,-30.6497,24.0123,63.39,28,0,5.08,clear sky
51,Georgetown,MY,5.4112,100.3354,78.8,89,40,3.44,scattered clouds
52,Saint George,US,37.1041,-113.5841,80.01,10,1,17.27,clear sky
53,Kasama,ZM,-10.2129,31.1808,58.77,97,2,4.09,clear sky
54,Xining,CN,36.6167,101.7667,42.57,92,100,4.52,overcast clouds
55,Chokurdakh,RU,70.6333,147.9167,-6.41,97,80,1.99,broken clouds
56,Hobart,AU,-42.8794,147.3294,51.8,71,40,10.36,scattered clouds
57,Yatou,CN,37.15,122.3833,49.6,91,100,10.29,overcast clouds
58,Upernavik,GL,72.7868,-56.1549,32.94,77,100,6.42,overcast clouds
59,Qaanaaq,GL,77.484,-69.3632,23.31,82,100,5.19,overcast clouds
60,Lucera,IT,41.5082,15.3351,57.2,77,75,9.22,broken clouds
61,Kodiak,US,57.79,-152.4072,39.2,87,90,9.22,light rain
62,Camacha,PT,33.0833,-16.3333,66.2,63,75,14.97,broken clouds
63,Kikwit,CD,-5.041,18.8162,72.21,93,100,2.62,light rain
64,Avera,US,33.194,-82.5271,73.4,23,1,4.61,clear sky
65,Saskylakh,RU,71.9167,114.0833,33.58,96,100,18.95,light snow
66,Butaritari,KI,3.0707,172.7902,82.51,75,92,10.85,overcast clouds
67,Puerto Ayora,EC,-0.7393,-90.3518,84.2,70,20,16.11,few clouds
68,Siniscola,IT,40.5719,9.6922,50.0,93,0,2.3,clear sky
69,Port Alfred,ZA,-33.5906,26.891,66.51,73,0,21.39,clear sky
70,Loksa,EE,59.5764,25.7214,36.0,80,40,13.8,scattered clouds
71,Manitouwadge,CA,49.1215,-85.8403,44.6,65,75,4.61,broken clouds
72,Sokolow Podlaski,PL,52.4068,22.2531,37.99,77,76,7.74,broken clouds
73,Aktash,RU,50.3,87.7333,8.74,87,100,3.2,overcast clouds
74,Gemena,CD,3.25,19.7667,70.07,98,99,0.31,overcast clouds
75,Punta Arenas,CL,-53.15,-70.9167,50.0,87,75,5.75,broken clouds
76,Coolum Beach,AU,-26.5333,153.1,62.01,80,22,1.99,few clouds
77,Chuy,UY,-33.6971,-53.4616,67.78,81,23,13.67,few clouds
78,Shimoda,JP,34.6667,138.95,52.0,70,100,3.0,overcast clouds
79,Kaitangata,NZ,-46.2817,169.8464,50.0,82,21,5.01,few clouds
80,Nanortalik,GL,60.1432,-45.2371,36.77,85,17,3.51,few clouds
81,Grand Gaube,MU,-20.0064,57.6608,78.01,79,99,1.99,overcast clouds
82,Egvekinot,RU,66.3167,-179.1667,30.58,71,100,2.53,overcast clouds
83,Port-Cartier,CA,50.0334,-66.8654,37.99,87,83,5.75,broken clouds
84,Misratah,LY,32.3754,15.0925,63.72,86,41,26.46,scattered clouds
85,Vardo,NO,70.3705,31.1107,33.8,69,40,11.5,scattered clouds
86,Iqaluit,CA,63.7506,-68.5145,28.4,93,90,3.44,light snow
87,Bredasdorp,ZA,-34.5322,20.0403,50.0,93,99,4.61,overcast clouds
88,Srednekolymsk,RU,67.45,153.6833,9.63,94,100,17.02,light snow
89,Cherskiy,RU,68.75,161.3,20.75,94,100,7.4,snow
90,Tura,IN,25.5198,90.2201,72.41,33,87,3.38,overcast clouds
91,Kitimat,CA,54.0524,-128.6534,63.0,36,100,1.01,overcast clouds
92,Tilichiki,RU,60.4667,166.1,20.07,85,58,4.65,broken clouds
93,Souillac,MU,-20.5167,57.5167,78.8,78,75,10.36,light rain
94,Maningrida,AU,-12.0667,134.2667,72.1,81,42,10.8,scattered clouds
95,Gillette,US,44.2911,-105.5022,35.6,64,90,10.36,overcast clouds
96,Torbay,CA,47.6666,-52.7314,45.0,65,75,21.85,broken clouds
97,Tuatapere,NZ,-46.1333,167.6833,45.0,95,98,1.99,overcast clouds
98,Milicz,PL,51.5277,17.2714,43.0,70,0,4.61,clear sky
99,Mar Del Plata,AR,-38.0023,-57.5575,75.2,64,75,6.91,broken clouds
100,Busselton,AU,-33.65,115.3333,62.01,74,99,1.01,overcast clouds
101,Loandjili,CG,-4.7561,11.8578,78.87,88,80,2.21,broken clouds
102,Mahebourg,MU,-20.4081,57.7,78.8,78,75,10.36,light rain
103,Geraldton,AU,-28.7667,114.6,59.0,88,90,6.91,overcast clouds
104,Zeya,RU,53.75,127.2667,31.53,54,60,7.78,broken clouds
105,Khatanga,RU,71.9667,102.5,33.06,97,100,21.21,overcast clouds
106,Klaksvik,FO,62.2266,-6.589,42.8,100,20,8.05,few clouds
107,Luang Prabang,LA,19.8856,102.1347,75.72,71,16,2.06,few clouds
108,Castro,BR,-24.7911,-50.0119,59.77,72,6,3.67,clear sky
109,Kahului,US,20.8947,-156.47,80.6,61,40,20.71,scattered clouds
110,Tazovskiy,RU,67.4667,78.7,32.88,98,100,14.29,snow
111,Kapaa,US,22.0752,-159.319,80.6,61,40,14.97,scattered clouds
