City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Barrow,US,2021-04-21 18:09:42,71.2906,-156.7887,17.6,79,75,8.05
1,Punta Arenas,CL,2021-04-21 18:09:43,-53.15,-70.9167,46.4,57,0,8.05
2,Arraial Do Cabo,BR,2021-04-21 18:09:43,-22.9661,-42.0278,78.8,78,40,14.97
3,Longyearbyen,SJ,2021-04-21 18:09:16,78.2186,15.6401,24.8,68,75,11.5
4,Clyde River,CA,2021-04-21 18:08:00,70.4692,-68.5914,10.4,92,75,11.5
5,Carnarvon,AU,2021-04-21 18:09:44,-24.8667,113.6333,68.0,83,76,8.05
6,Mawlaik,MM,2021-04-21 18:09:44,23.6333,94.4167,76.05,33,0,1.07
7,Darhan,MN,2021-04-21 18:09:45,49.4867,105.9228,28.47,56,66,16.89
8,Dori,BF,2021-04-21 18:09:45,14.0354,-0.0345,99.7,8,30,4.36
9,Oranjemund,NA,2021-04-21 18:09:45,-28.55,16.4333,61.05,91,95,3.87
10,Bombay,IN,2021-04-21 18:06:54,19.0144,72.8479,84.2,79,99,4.61
11,Ponta Do Sol,PT,2021-04-21 18:08:54,32.6667,-17.1,66.99,67,85,5.01
12,Lorengau,PG,2021-04-21 18:09:46,-2.0226,147.2712,81.91,80,98,7.4
13,Port Alfred,ZA,2021-04-21 18:08:24,-33.5906,26.891,69.91,83,94,5.53
14,Kasama,ZM,2021-04-21 18:09:47,-10.2129,31.1808,64.29,86,97,5.93
15,Kieta,PG,2021-04-21 18:09:47,-6.2167,155.6333,78.69,82,78,1.48
16,Karratha,AU,2021-04-21 18:09:47,-20.7377,116.8463,78.31,52,1,8.55
17,Khatanga,RU,2021-04-21 18:08:39,71.9667,102.5,7.93,91,100,13.33
18,Avarua,CK,2021-04-21 18:09:39,-21.2078,-159.775,77.0,78,40,11.5
19,Torbay,CA,2021-04-21 18:05:28,47.6666,-52.7314,50.0,61,75,16.11
20,Bluff,NZ,2021-04-21 18:09:48,-46.6,168.3333,46.99,97,100,9.08
21,Mataura,NZ,2021-04-21 18:08:48,-46.1927,168.8643,46.99,97,100,3.62
22,Kattivakkam,IN,2021-04-21 18:09:49,13.2167,80.3167,82.4,83,20,8.05
23,Rikitea,PF,2021-04-21 18:09:27,-23.1203,-134.9692,77.99,71,40,9.89
24,Crib Point,AU,2021-04-21 18:09:50,-38.35,145.2,55.0,68,99,16.87
25,Vaini,TO,2021-04-21 18:09:50,-21.2,-175.2,71.6,100,40,3.44
26,Busselton,AU,2021-04-21 18:09:51,-33.65,115.3333,53.01,93,73,10.13
27,Vao,NC,2021-04-21 18:09:08,-22.6667,167.4833,74.03,71,82,6.64
28,Albany,US,2021-04-21 18:09:51,42.6001,-73.9662,48.0,63,99,11.01
29,Cascais,PT,2021-04-21 18:09:52,38.6979,-9.4215,63.0,94,75,12.66
30,Eyl,SO,2021-04-21 18:09:40,7.9803,49.8164,83.37,74,60,8.97
31,Saint-Philippe,RE,2021-04-21 18:09:52,-21.3585,55.7679,77.0,83,75,13.8
32,Ngunguru,NZ,2021-04-21 18:09:53,-35.6167,174.5,53.01,95,98,3.0
33,Victoria,HK,2021-04-21 18:08:32,22.2855,114.1577,75.0,82,0,6.13
34,Omaruru,NA,2021-04-21 18:09:53,-21.4333,15.9333,71.64,29,7,8.41
35,Coihaique,CL,2021-04-21 18:09:54,-45.5752,-72.0662,55.4,58,75,5.75
36,Cape Town,ZA,2021-04-21 18:09:54,-33.9258,18.4232,64.99,88,0,11.5
37,Hobart,AU,2021-04-21 18:09:55,-42.8794,147.3294,53.6,66,75,5.75
38,Chuy,UY,2021-04-21 18:09:55,-33.6971,-53.4616,72.23,61,22,17.02
39,Kachiry,KZ,2021-04-21 18:09:55,53.0675,76.1036,30.92,68,76,11.3
40,Seoul,KR,2021-04-21 18:08:48,37.5683,126.9778,60.8,47,0,2.3
41,Batemans Bay,AU,2021-04-21 18:09:56,-35.7167,150.1833,48.99,90,2,1.01
42,Dieppe,FR,2021-04-21 18:08:22,49.75,1.1667,59.0,51,0,14.97
43,Kitimat,CA,2021-04-21 18:05:19,54.0524,-128.6534,52.0,69,68,1.92
44,Mersing,MY,2021-04-21 18:09:57,2.4312,103.8405,77.0,94,95,3.44
45,Pevek,RU,2021-04-21 18:08:59,69.7008,170.3133,20.14,68,61,18.01
46,Tiksi,RU,2021-04-21 18:09:13,71.6872,128.8694,9.75,90,100,11.36
47,Saiha,IN,2021-04-21 18:09:57,22.4833,92.9667,68.68,53,1,3.56
48,Mar Del Plata,AR,2021-04-21 18:06:04,-38.0023,-57.5575,69.8,94,40,16.11
49,Muros,ES,2021-04-21 18:09:58,42.7762,-9.0603,57.0,91,100,5.53
50,Batagay,RU,2021-04-21 18:09:58,67.6333,134.6333,3.96,96,100,1.74
51,Matay,EG,2021-04-21 18:09:59,28.419,30.7792,77.52,22,61,21.59
52,Alofi,NU,2021-04-21 18:09:59,-19.0595,-169.9187,75.2,94,56,4.61
53,Cabo San Lucas,MX,2021-04-21 18:09:39,22.8909,-109.9124,84.2,36,1,4.61
54,La Paz,BO,2021-04-21 18:05:19,-16.5,-68.15,62.6,20,40,9.22
55,Smithers,CA,2021-04-21 18:07:50,54.7804,-127.1743,51.8,50,40,11.5
56,Castro,BR,2021-04-21 18:09:14,-24.7911,-50.0119,68.81,56,29,7.49
57,Paamiut,GL,2021-04-21 18:10:00,61.994,-49.6678,34.2,77,28,6.06
58,Hermanus,ZA,2021-04-21 18:08:32,-34.4187,19.2345,64.99,82,82,5.01
59,Plettenberg Bay,ZA,2021-04-21 18:10:01,-34.0527,23.3716,65.41,89,76,5.7
60,Ilulissat,GL,2021-04-21 18:10:01,69.2167,-51.1,24.8,54,1,8.05
61,Touros,BR,2021-04-21 18:10:02,-5.1989,-35.4608,86.0,66,40,13.8
62,Saint George,US,2021-04-21 18:07:08,37.1041,-113.5841,77.0,7,1,20.71
63,Tomari,RU,2021-04-21 18:10:03,47.7658,142.0683,35.62,88,76,8.43
64,Bati,ET,2021-04-21 18:10:04,11.1833,40.0167,73.44,26,83,0.4
65,Bredasdorp,ZA,2021-04-21 18:10:04,-34.5322,20.0403,62.6,88,81,6.91
66,Half Moon Bay,US,2021-04-21 18:09:14,37.4636,-122.4286,62.01,72,20,3.44
67,Ushuaia,AR,2021-04-21 18:08:25,-54.8,-68.3,50.0,50,0,1.39
68,Jamestown,US,2021-04-21 18:09:42,42.097,-79.2353,32.0,74,90,10.36
69,Corner Brook,CA,2021-04-21 18:06:22,48.9667,-57.9484,44.6,61,75,11.5
70,Itarema,BR,2021-04-21 18:10:05,-2.9248,-39.9167,81.52,78,98,7.27
71,Wilkie,CA,2021-04-21 18:10:06,52.4168,-108.7014,53.6,26,1,20.71
72,Port Elizabeth,ZA,2021-04-21 18:10:06,-33.918,25.5701,68.0,88,40,10.36
73,East London,ZA,2021-04-21 18:08:03,-33.0153,27.9116,68.0,88,40,4.61
74,Norman Wells,CA,2021-04-21 18:10:07,65.282,-126.8329,21.2,79,75,21.85
75,Sola,VU,2021-04-21 18:10:07,-13.8833,167.55,82.4,76,54,11.79
76,Port Blair,IN,2021-04-21 18:09:19,11.6667,92.75,81.46,76,21,6.42
77,Dubai,AE,2021-04-21 18:05:48,25.2582,55.3047,84.2,54,0,3.44
78,Bridlington,GB,2021-04-21 18:10:08,54.0831,-0.1919,46.0,62,75,3.0
79,Innisfail,AU,2021-04-21 18:10:08,-17.5333,146.0333,71.98,94,90,4.03
80,Rincon,US,2021-04-21 18:10:09,32.296,-81.2354,84.2,26,20,19.57
81,New Norfolk,AU,2021-04-21 18:10:09,-42.7826,147.0587,53.01,64,91,4.0
82,Butaritari,KI,2021-04-21 18:10:09,3.0707,172.7902,82.54,77,100,16.78
83,Hamada,JP,2021-04-21 18:10:10,34.8833,132.0833,57.0,10,88,5.5
84,Brae,GB,2021-04-21 18:10:10,60.3964,-1.353,44.6,61,75,9.22
85,Jibuti,DJ,2021-04-21 18:10:11,11.5,42.5,84.2,61,1,3.44
86,Mount Isa,AU,2021-04-21 18:08:41,-20.7333,139.5,75.2,17,75,12.66
87,Kapaa,US,2021-04-21 18:10:12,22.0752,-159.319,75.99,78,1,5.75
88,Kitui,KE,2021-04-21 18:10:12,-1.367,38.0106,68.52,79,100,4.52
89,Saint-Pierre,RE,2021-04-21 18:10:13,-21.3393,55.4781,77.0,83,75,13.8
